school_dist_code,dbn,school_name,zipcode,Rate
2,02M475,Stuyvesant High School,10282,10
31,31R455,Tottenville High School,10312,4
11,11X544,High School for Contemporary Arts,10467,2
10,10X284,Bronx School of Law and Finance,10463,2
2,02M308,Lower Manhattan Arts Academy,10002,3
13,13K499,ACORN Community High School,11238,3
11,11X299,Astor Collegiate Academy,10469,3
27,27Q314,Epic High School - South,11420,2
12,12X479,Bronx Career and College Preparatory High School,10456,2
2,02M449,Vanguard High School,10065,3
12,12X271,East Bronx Academy for the Future,10460,3
12,12X242,Mott Hall V,10472,4
28,28Q686,Queens Metropolitan High School,11375,4
6,06M346,Community Health Academy of the Heights,10032,4
27,27Q262,Channel View School for Research,11694,5
10,10X433,High School for Teaching and the Professions,10468,2
18,18K629,Cultural Academy for the Arts and Sciences,11203,2
6,06M211,Inwood Early College for Health and Information Technologies,10034,3
17,17K590,Medgar Evers College Preparatory School,11225,7
14,14K685,El Puente Academy for Peace and Justice,11211,1
10,10X445,"Bronx High School of Science, The",10468,10
9,09X252,Mott Hall Bronx High School,10457,3
20,20K485,High School of Telecommunication Arts and Technology,11220,3
2,02M615,Chelsea Career and Technical Education High School,10013,5
9,09X412,Bronx High School of Business,10457,2
2,02M305,The Urban Assembly Academy of Government and Law,10002,3
17,17K548,Brooklyn School for Music & Theatre,11225,2
19,19K660,W. H. Maxwell Career and Technical Education High School,11207,2
24,24Q520,Middle College High School at LaGuardia Community College,11101,3
10,10X342,International School for Liberal Arts,10468,4
14,14K071,Juan Morel Campos Secondary School,11206,2
26,26Q315,Business Technology Early College High School (BTECH),11427,3
10,10X439,Bronx High School for Law and Community Service,10458,3
2,02M416,Eleanor Roosevelt High School,10021,10
27,27Q324,Rockaway Park High School for Environmental Sustainability,11694,2
19,19K510,World Academy for Total Community Health High School (WATCH),11207,2
13,13K594,Gotham Professional Arts Academy,11238,3
15,15K519,Cobble Hill School of American Studies,11201,3
2,02M520,Murry Bergtraum High School for Business Careers,10038,2
9,09X263,Validus Preparatory Academy,10457,2
13,13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",11201,4
21,21K525,Edward R. Murrow High School,11230,3
30,30Q286,"Young Women's Leadership School, Astoria (TYWLS)",11102,7
8,08X349,Bronx River High School,10461,2
23,23K644,Eagle Academy for Young Men II,11233,3
16,16K455,Boys and Girls High School,11213,2
28,28Q310,Queens Collegiate: A College Board School,11432,5
17,17K382,Academy for College Preparation and Career Exploration: A College Board School,11226,3
30,30Q580,Baccalaureate School for Global Education,11106,9
25,25Q263,Flushing International High School,11355,2
8,08X561,Bronx Compass High School,10473,2
2,02M551,Urban Assembly New York Harbor School,10004,4
21,21K690,Brooklyn Studio Secondary School,11214,5
30,30Q501,Frank Sinatra School of the Arts High School,11106,6
11,11X513,New World High School,10466,3
2,02M438,International High School at Union Square,10003,2
10,10X374,Knowledge and Power Preparatory Academy International High School (KAPPA),10458,4
24,24Q293,Civic Leadership Academy,11373,8
31,31R460,Susan E. Wagner High School,10314,4
9,09X350,New Directions Secondary School,10457,1
14,14K474,PROGRESS High School for Professional Careers,11211,2
10,10X696,High School of American Studies at Lehman College,10468,10
30,30Q301,Academy for Careers in Television and Film (ACTV),11101,6
2,02M422,Quest to Learn,10011,4
10,10X353,World View High School,10468,3
8,08X269,Bronx Studio School for Writers and Artists,10459,4
29,29Q313,Benjamin Franklin High School for Finance & Information Technology,11411,3
12,12X684,Wings Academy,10460,2
19,19K583,Multicultural High School,11208,2
8,08X432,Bronx Bridges High School,10473,1
25,25Q525,Townsend Harris High School,11367,10
2,02M393,Business of Sports School (BOSS),10019,3
14,14K454,The Williamsburg High School of Arts and Technology,11206,2
2,02M546,Academy for Software Engineering (AFSE),10003,4
29,29Q259,Pathways College Preparatory School: A College Board School,11412,3
19,19K502,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,11207,1
18,18K566,Brooklyn Generation School,11236,2
9,09X327,Comprehensive Model School Project M.S. 327,10452,5
26,26Q430,Francis Lewis High School,11365,6
14,14K561,Williamsburg Preparatory School,11211,5
21,21K572,Expeditionary Learning School for Community Leaders,11214,4
10,10X213,Bronx Engineering and Technology Academy,10463,2
7,07X495,University Heights Secondary School,10455,9
32,32K556,Bushwick Leaders High School for Academic Excellence,11221,2
2,02M459,Manhattan International High School,10065,2
28,28Q440,Forest Hills High School,11375,2
9,09X260,Bronx Center for Science and Mathematics,10456,5
9,09X403,Bronx International High School,10456,2
28,28Q680,Queens Gateway to Health Sciences Secondary School,11432,8
20,20K490,Fort Hamilton High School,11209,4
5,05M148,Eagle Academy for Young Men of Harlem,10030,2
2,02M411,Baruch College Campus High School,10010,9
7,07X527,Bronx Leadership Academy II High School,10451,2
17,17K546,High School for Public Service: Heroes of Tomorrow,11203,6
9,09X564,Claremont International High School,10457,1
6,06M293,City College Academy of the Arts,10040,7
31,31R605,Staten Island Technical High School,10306,10
11,11X508,Bronxdale High School,10469,2
2,02M630,Art and Design High School,10019,4
2,02M533,Union Square Academy for Health Sciences,10003,2
24,24Q585,Maspeth High School,11373,6
4,04M555,Central Park East High School,10029,7
9,09X241,The Urban Assembly School for Applied Math and Science,10457,4
31,31R440,New Dorp High School,10306,4
12,12X550,High School of World Cultures,10472,1
25,25Q285,World Journalism Preparatory: A College Board School,11358,6
25,25Q425,John Bowne High School,11367,3
28,28Q505,Hillcrest High School,11432,9
31,31R080,The Michael J. Petrides School,10301,5
10,10X437,Fordham High School for the Arts,10458,4
19,19K504,High School for Civil Rights,11207,1
5,05M157,The Urban Assembly School for Global Commerce,10035,1
9,09X324,Bronx Early College Academy for Teaching & Learning,10456,3
15,15K463,Secondary School for Journalism,11215,2
26,26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",11426,4
11,11X455,Harry S Truman High School,10475,3
8,08X282,Women's Academy of Excellence,10473,2
12,12X521,"Metropolitan Soundview High School, The",10472,2
22,22K535,Leon M. Goldstein High School for the Sciences,11235,8
29,29Q326,Cambria Heights Academy,11423,3
5,05M362,Columbia Secondary School,10027,9
15,15K448,Brooklyn Collaborative Studies,11231,3
27,27Q351,Rockaway Collegiate High School,11694,2
10,10X549,Discovery High School,10468,5
19,19K639,Brooklyn Lab School,11208,1
27,27Q650,"High School for Construction Trades, Engineering and Architecture",11416,5
17,17K408,Academy of Hospitality and Tourism,11226,2
19,19K683,School for Classics High School,11208,2
15,15K429,Digital Arts and Cinema Technology High School,11201,2
24,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",11101,5
17,17K528,The High School for Global Citizenship,11225,2
17,17K751,Academy for Health Careers,11213,3
15,15K497,The Boerum Hill School for International Studies,11201,3
4,04M372,Esperanza Preparatory Academy,10029,2
9,09X543,High School for Violin and Dance,10456,2
2,02M425,Leadership and Public Service High School,10006,2
32,32K403,Academy for Environmental Leadership,11237,2
32,32K403,Academy for Environmental Leadership,11237,2
32,32K168,"Brooklyn School for Math and Research (B-SMARt), The",11237,2
32,32K168,"Brooklyn School for Math and Research (B-SMARt), The",11237,2
32,32K552,The Academy of Urban Planning and Engineering,11237,2
32,32K552,The Academy of Urban Planning and Engineering,11237,2
32,32K549,"Brooklyn School for Social Justice, The",11237,2
32,32K549,"Brooklyn School for Social Justice, The",11237,2
16,16K765,Nelson Mandela High School,11213,2
11,11X514,The Bronxwood Preparatory Academy,10466,2
29,29Q243,Institute for Health Professions at Cambria Heights,11411,3
6,06M467,High School for Law and Public Service,10040,2
7,07X548,Careers In Sports High School,10451,2
13,13K439,Brooklyn International High School,11201,3
7,07X522,Bronx Design and Construction Academy,10451,2
10,10X351,Bronx Collaborative High School,10468,2
6,06M552,Gregorio Luperon High School for Science and Mathematics,10032,3
14,14K477,East Williamsburg Scholars Academy,11211,2
14,14K478,"The High School for Enterprise, Business and Technology",11211,2
12,12X511,Bronx Envision Academy,10460,2
2,02M534,Harvest Collegiate High School,10011,3
8,08X452,Gotham Collaborative High School,10473,2
17,17K122,Pathways in Technology Early College High School (P-TECH),11213,3
7,07X223,The Laboratory School of Finance and Technology,10454,5
10,10X438,Fordham Leadership Academy,10458,2
11,11X509,High School of Language and Innovation,10469,2
4,04M680,"Heritage School, The",10029,2
24,24Q530,International High School at LaGuardia Community College,11101,3
2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,10019,3
8,08X530,Longwood Preparatory Academy,10459,2
26,26Q435,Martin Van Buren High School,11427,2
2,02M260,The Clinton School,10003,4
29,29Q265,Excelsior Preparatory High School,11413,3
9,09X525,Bronx Leadership Academy High School,10457,2
10,10X434,Belmont Preparatory High School,10458,3
3,03M299,The Maxine Greene High School for Imaginative Inquiry,10023,2
11,11X253,Bronx High School for Writing and Communication Arts,10467,2
1,01M292,Orchard Collegiate Academy,10002,2
7,07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",10455,2
2,02M529,Jacqueline Kennedy Onassis High School,10036,2
15,15K462,John Jay School for Law,11215,3
17,17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",11226,8
2,02M544,Independence High School,10019,1
3,03M403,The Global Learning Collaborative,10024,3
12,12X248,"Metropolitan High School, The",10459,2
25,25Q240,Veritas Academy,11354,3
21,21K348,High School of Sports Management,11214,2
31,31R028,The Eagle Academy for Young Men of Staten Island,10304,2
8,08X312,Millennium Art Academy,10473,2
29,29Q272,George Washington Carver High School for the Sciences,11413,3
5,05M692,"High School for Mathematics, Science and Engineering at City College (HSMSE)",10031,10
